Essence_billon;Produit;Cov
BOJ;DER;0.0660811798189432
BOJ;F1;0.0450522622533067
BOJ;F2;0.132995457166618
BOJ;F3;0.203121202482777
BOJ;F4;0.301171819708444
BOJ;P;0.307678545811885
BOP;F1;0.076661977019176
BOP;F2;0.073232810128049
BOP;F3;0.221028721138492
BOP;F4;0.217144945497563
BOP;P;0.284876804952762
CHR;F1;0.146742443723066
CHR;F2;0.109330623539842
CHR;F3;0.173890131406958
CHR;F4;0.176733120296894
CHR;P;0.399778308595046
ERR;F3;0.233889706087338
ERR;P;0.23184502888533
ERS;F1;0.0660779349447837
ERS;F2;0.172734321299436
ERS;F3;0.281685037448979
ERS;F4;0.253802338344603
ERS;P;0.316735997175045
HEG;F2;0.252856711387642
HEG;F3;0.230339989443249
HEG;F4;0.143351436550291
HEG;P;0.266795680168877
