Essence_billon;Module;ParameterEstimate;Produit;QualiteABCD;Effet
BOP;Pres;-2.16554252130206;P;B;classepetro_abcd
BOP;Pres;-1.63199483625085;P;C;classepetro_abcd
BOP;Pres;-0.881904231580055;P;D;classepetro_abcd
BOP;Pres;0;DER;NA;dhpcm_classepetro
BOP;Pres;0.458561815571776;F1;NA;dhpcm_classepetro
BOP;Pres;0.952511083394162;F2;NA;dhpcm_classepetro
BOP;Pres;0.0711278475939446;F3;NA;dhpcm_classepetro
BOP;Pres;-0.0727126917943063;F4;NA;dhpcm_classepetro
BOP;Pres;0.104785034366618;P;NA;dhpcm_classepetro
BOP;Pres;0;DER;NA;dhpcm2_classepetro
BOP;Pres;-0.00424041729876732;F1;NA;dhpcm2_classepetro
BOP;Pres;-0.0106831369103285;F2;NA;dhpcm2_classepetro
BOP;Pres;-0.00154215010055075;F3;NA;dhpcm2_classepetro
BOP;Pres;4.7141127844515e-4;F4;NA;dhpcm2_classepetro
BOP;Pres;-6.3180843843054e-4;P;NA;dhpcm2_classepetro
BOP;Vol;0;DER;A;classepetro_abcd
BOP;Vol;0;DER;B;classepetro_abcd
BOP;Vol;0;DER;C;classepetro_abcd
BOP;Vol;0;DER;D;classepetro_abcd
BOP;Vol;0;F1;A;classepetro_abcd
BOP;Vol;-2.69073531294943;F1;B;classepetro_abcd
BOP;Vol;-2.78057030228097;F1;C;classepetro_abcd
BOP;Vol;0;F1;D;classepetro_abcd
BOP;Vol;0;F2;A;classepetro_abcd
BOP;Vol;-2.64475413345061;F2;B;classepetro_abcd
BOP;Vol;-2.75692151493041;F2;C;classepetro_abcd
BOP;Vol;-2.71707213774024;F2;D;classepetro_abcd
BOP;Vol;0;F3;A;classepetro_abcd
BOP;Vol;-2.39122606392125;F3;B;classepetro_abcd
BOP;Vol;-2.30738208121486;F3;C;classepetro_abcd
BOP;Vol;-2.50136368561922;F3;D;classepetro_abcd
BOP;Vol;0;F4;A;classepetro_abcd
BOP;Vol;-3.58828944418335;F4;B;classepetro_abcd
BOP;Vol;-3.52720326588268;F4;C;classepetro_abcd
BOP;Vol;-3.44662327278399;F4;D;classepetro_abcd
BOP;Vol;0;P;A;classepetro_abcd
BOP;Vol;-3.36602875848719;P;B;classepetro_abcd
BOP;Vol;-3.34428729524364;P;C;classepetro_abcd
BOP;Vol;-2.950032453232;P;D;classepetro_abcd
BOP;Vol;0;DER;NA;dhpcm_classepetro
BOP;Vol;0.0393837793528668;F1;NA;dhpcm_classepetro
BOP;Vol;0.038203182739575;F2;NA;dhpcm_classepetro
BOP;Vol;0.0276192071976763;F3;NA;dhpcm_classepetro
BOP;Vol;0.0371133938793229;F4;NA;dhpcm_classepetro
BOP;Vol;0.0482437212242949;P;NA;dhpcm_classepetro
ERS;Pres;0;DER;A;classepetro_abcd
ERS;Pres;0;DER;B;classepetro_abcd
ERS;Pres;0;DER;C;classepetro_abcd
ERS;Pres;0;DER;D;classepetro_abcd
ERS;Pres;-16.6815659932261;F1;A;classepetro_abcd
ERS;Pres;-17.5241249120573;F1;B;classepetro_abcd
ERS;Pres;-18.4933726784972;F1;C;classepetro_abcd
ERS;Pres;-20.0703671071129;F1;D;classepetro_abcd
ERS;Pres;-11.5096731845768;F2;A;classepetro_abcd
ERS;Pres;-11.5292476322636;F2;B;classepetro_abcd
ERS;Pres;-12.6881315197515;F2;C;classepetro_abcd
ERS;Pres;-13.6622779067031;F2;D;classepetro_abcd
ERS;Pres;-1.1671736525151;F3;A;classepetro_abcd
ERS;Pres;-0.873498031382742;F3;B;classepetro_abcd
ERS;Pres;-0.983193756779764;F3;C;classepetro_abcd
ERS;Pres;-2.1441819770879;F3;D;classepetro_abcd
ERS;Pres;1.05374972661408;F4;A;classepetro_abcd
ERS;Pres;1.31981827701144;F4;B;classepetro_abcd
ERS;Pres;1.15843101012549;F4;C;classepetro_abcd
ERS;Pres;1.14817368719693;F4;D;classepetro_abcd
ERS;Pres;2.11745248116228;P;A;classepetro_abcd
ERS;Pres;2.72398519335574;P;B;classepetro_abcd
ERS;Pres;2.75378148206935;P;C;classepetro_abcd
ERS;Pres;3.41169298284816;P;D;classepetro_abcd
ERS;Pres;0;DER;NA;dhpcm_classepetro
ERS;Pres;0.572869916532498;F1;NA;dhpcm_classepetro
ERS;Pres;0.458900351211077;F2;NA;dhpcm_classepetro
ERS;Pres;0.073771374669964;F3;NA;dhpcm_classepetro
ERS;Pres;-0.140494648558043;F4;NA;dhpcm_classepetro
ERS;Pres;-0.00216683318636253;P;NA;dhpcm_classepetro
ERS;Pres;0;DER;NA;dhpcm2_classepetro
ERS;Pres;-0.00483208193892456;F1;NA;dhpcm2_classepetro
ERS;Pres;-0.00405734763809182;F2;NA;dhpcm2_classepetro
ERS;Pres;-6.037533196496e-4;F3;NA;dhpcm2_classepetro
ERS;Pres;0.00131161176361118;F4;NA;dhpcm2_classepetro
ERS;Pres;-2.5080978458033e-4;P;NA;dhpcm2_classepetro
ERS;Vol;0;DER;A;classepetro_abcd
ERS;Vol;0;DER;B;classepetro_abcd
ERS;Vol;0;DER;C;classepetro_abcd
ERS;Vol;0;DER;D;classepetro_abcd
ERS;Vol;-2.78063365325239;F1;A;classepetro_abcd
ERS;Vol;-2.96962629431956;F1;B;classepetro_abcd
ERS;Vol;-2.97319203458597;F1;C;classepetro_abcd
ERS;Vol;-3.09512263315592;F1;D;classepetro_abcd
ERS;Vol;-2.35440016353084;F2;A;classepetro_abcd
ERS;Vol;-2.4292210901447;F2;B;classepetro_abcd
ERS;Vol;-2.50044096094572;F2;C;classepetro_abcd
ERS;Vol;-2.70614358251875;F2;D;classepetro_abcd
ERS;Vol;-3.01793084906311;F3;A;classepetro_abcd
ERS;Vol;-2.92086898786643;F3;B;classepetro_abcd
ERS;Vol;-2.84023919995815;F3;C;classepetro_abcd
ERS;Vol;-3.10238679371445;F3;D;classepetro_abcd
ERS;Vol;-3.17325671970755;F4;A;classepetro_abcd
ERS;Vol;-3.29338962227986;F4;B;classepetro_abcd
ERS;Vol;-3.31352706159837;F4;C;classepetro_abcd
ERS;Vol;-3.29129397462738;F4;D;classepetro_abcd
ERS;Vol;-2.49867777348334;P;A;classepetro_abcd
ERS;Vol;-2.48419152348499;P;B;classepetro_abcd
ERS;Vol;-2.40624979441453;P;C;classepetro_abcd
ERS;Vol;-2.1377462473349;P;D;classepetro_abcd
ERS;Vol;0;DER;NA;dhpcm_classepetro
ERS;Vol;0.046423223416617;F1;NA;dhpcm_classepetro
ERS;Vol;0.0352630620260186;F2;NA;dhpcm_classepetro
ERS;Vol;0.042156232773579;F3;NA;dhpcm_classepetro
ERS;Vol;0.0249118433110127;F4;NA;dhpcm_classepetro
ERS;Vol;0.0306181971575482;P;NA;dhpcm_classepetro
ERR;Pres;0;DER;A;classepetro_abcd
ERR;Pres;0;DER;B;classepetro_abcd
ERR;Pres;0;DER;C;classepetro_abcd
ERR;Pres;0;DER;D;classepetro_abcd
ERR;Pres;0;F1;A;classepetro_abcd
ERR;Pres;0;F1;B;classepetro_abcd
ERR;Pres;0;F1;C;classepetro_abcd
ERR;Pres;0;F1;D;classepetro_abcd
ERR;Pres;0;F2;A;classepetro_abcd
ERR;Pres;0;F2;B;classepetro_abcd
ERR;Pres;0;F2;C;classepetro_abcd
