Essence_billon;Module;ParameterEstimate;Produit;Vigueur1234;Effet
BOP;Pres;-0.103493855;F4;NA;dhpcm_classepetro
BOP;Pres;0.128877414;P;NA;dhpcm_classepetro
BOP;Pres;0;DER;NA;dhpcm2_classepetro
BOP;Pres;-0.004148049;F1;NA;dhpcm2_classepetro
BOP;Pres;-0.015190286;F2;NA;dhpcm2_classepetro
BOP;Pres;-2.72204e-4;F3;NA;dhpcm2_classepetro
BOP;Pres;6.43933e-4;F4;NA;dhpcm2_classepetro
BOP;Pres;-0.001105804;P;NA;dhpcm2_classepetro
BOP;Vol;0;DER;nonvig;classepetro_vig
BOP;Vol;0;DER;vigour;classepetro_vig
BOP;Vol;-3.034416285;F1;nonvig;classepetro_vig
BOP;Vol;-2.870828619;F1;vigour;classepetro_vig
BOP;Vol;-2.813170425;F2;nonvig;classepetro_vig
BOP;Vol;-2.822945192;F2;vigour;classepetro_vig
BOP;Vol;-2.327189631;F3;nonvig;classepetro_vig
BOP;Vol;-2.203892647;F3;vigour;classepetro_vig
BOP;Vol;-3.573570303;F4;nonvig;classepetro_vig
BOP;Vol;-3.458661577;F4;vigour;classepetro_vig
BOP;Vol;-3.292963729;P;nonvig;classepetro_vig
BOP;Vol;-3.368203308;P;vigour;classepetro_vig
BOP;Vol;0;DER;NA;dhpcm_classepetro
BOP;Vol;0.043560511;F1;NA;dhpcm_classepetro
BOP;Vol;0.041356773;F2;NA;dhpcm_classepetro
BOP;Vol;0.022089097;F3;NA;dhpcm_classepetro
BOP;Vol;0.036574111;F4;NA;dhpcm_classepetro
BOP;Vol;0.046970669;P;NA;dhpcm_classepetro
ERS;Pres;0;DER;nonvig;classepetro_vig
ERS;Pres;0;DER;vigour;classepetro_vig
ERS;Pres;-21.82944883;F1;nonvig;classepetro_vig
ERS;Pres;-20.78318707;F1;vigour;classepetro_vig
ERS;Pres;-15.83935445;F2;nonvig;classepetro_vig
ERS;Pres;-15.06627173;F2;vigour;classepetro_vig
ERS;Pres;-0.048052116;F3;nonvig;classepetro_vig
ERS;Pres;0.626710351;F3;vigour;classepetro_vig
ERS;Pres;0.357123157;F4;nonvig;classepetro_vig
ERS;Pres;0.349252955;F4;vigour;classepetro_vig
ERS;Pres;2.971418773;P;nonvig;classepetro_vig
ERS;Pres;2.495663051;P;vigour;classepetro_vig
ERS;Pres;0;DER;pate;classepetro_prod
ERS;Pres;0;DER;sciage;classepetro_prod
ERS;Pres;0;F1;pate;classepetro_prod
ERS;Pres;0;F1;sciage;classepetro_prod
ERS;Pres;-2.563322337;F2;pate;classepetro_prod
ERS;Pres;0;F2;sciage;classepetro_prod
ERS;Pres;-2.020416711;F3;pate;classepetro_prod
ERS;Pres;0;F3;sciage;classepetro_prod
ERS;Pres;-1.192299347;F4;pate;classepetro_prod
ERS;Pres;0;F4;sciage;classepetro_prod
ERS;Pres;2.10385157;P;pate;classepetro_prod
ERS;Pres;0;P;sciage;classepetro_prod
ERS;Pres;0;DER;NA;dhpcm_classepetro
ERS;Pres;0.708244651;F1;NA;dhpcm_classepetro
ERS;Pres;0.605970682;F2;NA;dhpcm_classepetro
ERS;Pres;0.029512163;F3;NA;dhpcm_classepetro
ERS;Pres;-0.097889062;F4;NA;dhpcm_classepetro
ERS;Pres;-0.01471401;P;NA;dhpcm_classepetro
ERS;Pres;0;DER;NA;dhpcm2_classepetro
ERS;Pres;-0.006232221;F1;NA;dhpcm2_classepetro
ERS;Pres;-0.00573966;F2;NA;dhpcm2_classepetro
ERS;Pres;-4.22418e-4;F3;NA;dhpcm2_classepetro
ERS;Pres;0.001010588;F4;NA;dhpcm2_classepetro
ERS;Pres;6.65e-5;P;NA;dhpcm2_classepetro
ERS;Vol;0;DER;nonvig;classepetro_vig
ERS;Vol;0;DER;vigour;classepetro_vig
ERS;Vol;-2.546776784;F1;nonvig;classepetro_vig
ERS;Vol;-2.580942189;F1;vigour;classepetro_vig
ERS;Vol;-2.269986259;F2;nonvig;classepetro_vig
ERS;Vol;-2.203799102;F2;vigour;classepetro_vig
ERS;Vol;-2.503780114;F3;nonvig;classepetro_vig
ERS;Vol;-2.373764841;F3;vigour;classepetro_vig
ERS;Vol;-3.159894161;F4;nonvig;classepetro_vig
ERS;Vol;-3.036712214;F4;vigour;classepetro_vig
ERS;Vol;-2.57327181;P;nonvig;classepetro_vig
ERS;Vol;-2.709453642;P;vigour;classepetro_vig
ERS;Vol;0;DER;pate;classepetro_prod
ERS;Vol;0;DER;sciage;classepetro_prod
ERS;Vol;0;F1;pate;classepetro_prod
ERS;Vol;0;F1;sciage;classepetro_prod
ERS;Vol;-0.342065077;F2;pate;classepetro_prod
ERS;Vol;0;F2;sciage;classepetro_prod
ERS;Vol;-0.235564394;F3;pate;classepetro_prod
ERS;Vol;0;F3;sciage;classepetro_prod
ERS;Vol;-0.061827697;F4;pate;classepetro_prod
ERS;Vol;0;F4;sciage;classepetro_prod
ERS;Vol;0.338473447;P;pate;classepetro_prod
ERS;Vol;0;P;sciage;classepetro_prod
ERS;Vol;0;DER;NA;dhpcm_classepetro
ERS;Vol;0.039253399;F1;NA;dhpcm_classepetro
ERS;Vol;0.027723975;F2;NA;dhpcm_classepetro
ERS;Vol;0.027500143;F3;NA;dhpcm_classepetro
ERS;Vol;0.019879211;F4;NA;dhpcm_classepetro
ERS;Vol;0.037920131;P;NA;dhpcm_classepetro
ERR;Pres;0;DER;nonvig;classepetro_vig
ERR;Pres;0;DER;vigour;classepetro_vig
ERR;Pres;0;F1;nonvig;classepetro_vig
ERR;Pres;0;F1;vigour;classepetro_vig
ERR;Pres;0;F2;nonvig;classepetro_vig
ERR;Pres;0;F2;vigour;classepetro_vig
ERR;Pres;0.674455044;F3;nonvig;classepetro_vig
ERR;Pres;2.662573662;F3;vigour;classepetro_vig
ERR;Pres;0;F4;nonvig;classepetro_vig
ERR;Pres;0;F4;vigour;classepetro_vig
ERR;Pres;3.169713378;P;nonvig;classepetro_vig
ERR;Pres;2.708032785;P;vigour;classepetro_vig
ERR;Vol;0;DER;nonvig;classepetro_vig
ERR;Vol;0;DER;vigour;classepetro_vig
ERR;Vol;0;F1;nonvig;classepetro_vig
ERR;Vol;0;F1;vigour;classepetro_vig
ERR;Vol;0;F2;nonvig;classepetro_vig
ERR;Vol;0;F2;vigour;classepetro_vig
ERR;Vol;-3.329532444;F3;nonvig;classepetro_vig
