Essence_billon;Module;ParameterEstimate;Produit;PrioriteMSCR;Effet
BOP;Pres;-2.1714823893781;P;C;classepetro_mscr
BOP;Pres;-1.52024524150164;P;M;classepetro_mscr
BOP;Pres;-1.85529406422643;P;R;classepetro_mscr
BOP;Pres;-1.26061093107704;P;S;classepetro_mscr
BOP;Pres;0;DER;NA;dhpcm_classepetro
BOP;Pres;0.59946254593744;F1;NA;dhpcm_classepetro
BOP;Pres;1.47261509190725;F2;NA;dhpcm_classepetro
BOP;Pres;-0.0222812590168003;F3;NA;dhpcm_classepetro
BOP;Pres;-0.14198309732903;F4;NA;dhpcm_classepetro
BOP;Pres;0.105255688144548;P;NA;dhpcm_classepetro
BOP;Pres;0;DER;NA;dhpcm2_classepetro
BOP;Pres;-0.00538309851965205;F1;NA;dhpcm2_classepetro
BOP;Pres;-0.0167656056754514;F2;NA;dhpcm2_classepetro
BOP;Pres;-3.5375298897414e-4;F3;NA;dhpcm2_classepetro
BOP;Pres;0.00126778471395143;F4;NA;dhpcm2_classepetro
BOP;Pres;-8.0952926445154e-4;P;NA;dhpcm2_classepetro
BOP;Vol;0;DER;C;classepetro_mscr
BOP;Vol;0;DER;M;classepetro_mscr
BOP;Vol;0;DER;R;classepetro_mscr
BOP;Vol;0;DER;S;classepetro_mscr
BOP;Vol;-2.95279396623532;F1;C;classepetro_mscr
BOP;Vol;-2.87316475449598;F1;M;classepetro_mscr
BOP;Vol;-2.94133016419311;F1;R;classepetro_mscr
BOP;Vol;-3.09808612225745;F1;S;classepetro_mscr
BOP;Vol;-2.84680228652421;F2;C;classepetro_mscr
BOP;Vol;-2.78011775531187;F2;M;classepetro_mscr
BOP;Vol;-2.76010748014593;F2;R;classepetro_mscr
BOP;Vol;-2.79785659277855;F2;S;classepetro_mscr
BOP;Vol;-2.02628711068357;F3;C;classepetro_mscr
BOP;Vol;-2.20446396470747;F3;M;classepetro_mscr
BOP;Vol;-2.04661614140462;F3;R;classepetro_mscr
BOP;Vol;-2.19966789946795;F3;S;classepetro_mscr
BOP;Vol;-3.65900898472129;F4;C;classepetro_mscr
BOP;Vol;-3.42344206551923;F4;M;classepetro_mscr
BOP;Vol;-3.31937585533217;F4;R;classepetro_mscr
BOP;Vol;-3.47648222833494;F4;S;classepetro_mscr
BOP;Vol;-3.33224346596271;P;C;classepetro_mscr
BOP;Vol;-3.27252207599709;P;M;classepetro_mscr
BOP;Vol;-3.43271995891282;P;R;classepetro_mscr
BOP;Vol;-3.36276678763619;P;S;classepetro_mscr
